Company,Title,Location,Publish Time,Salary,Work Model,Match Score,Applicants,Min YOE,H1B Sponsor,Matched Skills,Missing Skills,URL,Apply Link
NiCE,Software Engineer - AI Coding Agents,"Sandy, UT",12 hours ago,N/A,Onsite,89.5229,200,N/A,True,"Typescript, Python, Cloud environments, APIs, Microservices, Event-driven systems, AI/ML concepts, Large language models, AI SDKs, AWS, Azure, CI/CD, Docker, Kubernetes, Work in a fast-paced environment","Backend development, C#, NET, Rust, Scalable distributed systems, GCP, Analytical skills",https://jobright.ai/jobs/info/69bdc8104828227293004025,https://boards.eu.greenhouse.io/nice/jobs/4818465101?gh_jid=4818465101
Atlantic Group,Application Developer,"Greenwich, CT",5 hours ago,N/A,Onsite,94.3187,25,N/A,True,"TypeScript, Angular, React, Containerization, CI/CD tools, Python, Software design principles, System design, Cloud-based environments, AWS, Azure, Relational databases, MSSQL, PostgreSQL, SQL","C#, .NET, Service-to-service communication, Buy Side Financial Firm experience",https://jobright.ai/jobs/info/69f7cb4da3d34b4f76f5bd24,https://www.linkedin.com/jobs/view/4409883453
Venture Global LNG,Data Engineer,"Arlington, VA",10 hours ago,N/A,Onsite,90.1512,200,2,True,"Cloud Architecture, Data Engineering, Azure, Data Processing, Data Integration, Parallel Processing, SQL, Python, Azure Data Factory, Azure Databricks, Data Pipeline Development","Data Storage Solutions, Data Architecture, Spark, Self-management, Prioritization",https://jobright.ai/jobs/info/69a0defc81476f6176bb318d,https://boards.greenhouse.io/embed/job_app?token=8182349002&utm_source=jobright
Old Mission,Front End Software Engineer,"Chicago, IL, United States",7 hours ago,$125K/yr - $225K/yr,Onsite,92.9972,25,5,True,"React, JavaScript frameworks, TypeScript, Redux, Websockets, Protocol Buffers, Linux, Postgres, Team player mentality","Jest, Webpack, Frontend development, Automated testing, User feedback gathering",https://jobright.ai/jobs/info/69caa730e565c26a7003f40a,https://boards.greenhouse.io/embed/job_app?token=6549687003&utm_source=jobright
Amplify,Senior Software Engineer,United States,12 hours ago,$140K/yr - $160K/yr,Remote,97.6996,200,3,True,"Software development, React, Server-side development, Node.js, MongoDB, AWS, Azure, Software design, AI integration, TypeScript, Self-driven learning","Frontend frameworks, Database technologies, Cloud deployment, GCP, Automated testing",https://jobright.ai/jobs/info/69320087fa28370be26c07bc,https://amplify.wd1.myworkdayjobs.com/Amplify_Careers/job/Remote---United-States/Senior-Software-Engineer_Req_12357-1?source=LinkedIn
VAST Data,Top Graduate Software Engineer - V-Force - New York,"NY, New York, US",9 hours ago,N/A,Hybrid,98.0,37,N/A,True,"Programming languages - C, Programming languages - C++, Programming languages - Python, Data structures, Algorithms, English communication",Code documentation,https://jobright.ai/jobs/info/69f757cb81706a5bd216bdbe,https://www.comeet.com/jobs/vastdata/43.001/top-graduate-software-engineer---v-force---new-york/B7.765
Quality Theorem,Data Engineer,"Redmond, WA",7 hours ago,N/A,Onsite,82.0604,66,3,True,"Data Engineering, Database Administration, PostgreSQL, MongoDB, SQL, AWS Database Services, Python, Scripting Language, MongoDB Replica Sets, MongoDB Sharding, MongoDB Indexing, PostgreSQL Replication, PostgreSQL Performance Tuning, PostgreSQL Connection Pooling, MongoDB Atlas, Database Security","Amazon Redshift, AWS Data Services, Workflow Orchestration Tools, Airflow, Step Functions, MongoDB Backups, Redshift Cluster Management, Redshift Query Tuning, Redshift Workload Management, Redshift Snapshots, Monitoring Tools, CloudWatch, PgBadger, Encryption",https://jobright.ai/jobs/info/69f77add582f810f9c8cc03f,https://www.linkedin.com/jobs/view/4409867477
Cloudflare,"Software Engineer, Global Resource Management","Austin, TX",11 hours ago,N/A,Hybrid,91.323,200,3,True,"Software Development, Systems Design, Code Review","Distributed Systems, Go (Golang), Architectural Thinking",https://jobright.ai/jobs/info/69ace3342747003c3d5275d4,https://boards.greenhouse.io/cloudflare/jobs/7340134?gh_jid=7340134&gh_src=5ylsd31&source=LinkedIn
Axle,Senior Full Stack Developer,"Rockville, MD",8 hours ago,$120K/yr - $145K/yr,Onsite,97.3068,25,3,True,"TypeScript, JavaScript, Jupyter notebooks, Node.js, Angular 19+, NoSQL databases, MongoDB, Containers, Docker, Container orchestration, Kubernetes, GitHub Actions, Version control systems, Git, Unit testing, Generative AI technologies","Full-stack development, DevOps tools, Jenkins, End-to-end testing",https://jobright.ai/jobs/info/69a1f6fd0da45516f16b408c,https://www.linkedin.com/jobs/view/4377936490
"Yaskawa America, Inc. -  Drives & Motion Division",Software Engineer C,"Franklin, WI",9 hours ago,N/A,Hybrid,97.0067,200,1,True,"Programming languages, C++, SQL, Python, Software development lifecycle, Coding practices",Agile methodologies,https://jobright.ai/jobs/info/69eb12b5dc35f7132c4ad420,https://recruiting.ultipro.com/YAS1000YAAMI/JobBoard/8a2317d2-a61e-4259-a857-722d164a211c/OpportunityDetail?opportunityId=9abb3111-f9c9-460a-a35b-ecbd9a306243&source=LinkedIn&utm_source=LINKEDIN
Lead,Software Engineer II,San Francisco Bay Area,8 hours ago,$150K/yr - $175K/yr,Hybrid,81.859,200,2,True,"Large scale backend systems, AWS, Java, High quality code base development","Cloud native environment, Go, Project delivery, Curiosity, Humility, Openness to learning",https://jobright.ai/jobs/info/695a690c9f1b381eb27302a1,https://jobs.ashbyhq.com/leadbank/665bd580-a7b4-412e-bc47-cfb52a5787dd?utm_source=LinkedIn
Hub Group,Associate Full Stack Developer,"Oak Brook, IL",6 hours ago,$85K/yr - $85K/yr,Onsite,86.2326,200,2,True,"NodeJS, AngularJS, RESTful APIs, Web Services, JavaScript, SQL, HTML, CSS, NoSQL Database, Unit testing, Integration testing, Source revision control, GIT","MEAN stack, Spring MVC, JAX-WS, LESS, SASS, Bootstrap, Cross-compilation, Bug tracking, JIRA, JTAG debuggers, Open-Source technologies",https://jobright.ai/jobs/info/6946b2e4d1953b5d11bfe12a,https://www.linkedin.com/jobs/view/4326557735
Grafana Labs,Software Engineer - Platform Productivity | USA | Remote,United States,10 hours ago,$128K/yr - $153K/yr,Remote,82.6,25,N/A,True,"Go programming, Kubernetes, Docker, Terraform, CI/CD platform management, Release automation, Software development, Observability systems","Infrastructure as Code, Crossplane, Build automation, Application configuration management",https://jobright.ai/jobs/info/69e68d5d9b6eb37e26f80eef,https://boards.greenhouse.io/embed/job_app?token=5807984004&utm_source=jobright
CommonSpirit Health,IT Software Engineer,United States,8 hours ago,$43.20/hr - $64.26/hr,Remote,83.0384,59,2,True,"Lightning Web Components, Aura Components, SOQL, REST APIs, SOAP APIs, Git, Version Control Systems, CI/CD, Unit Testing, Debugging","Apex Development, SOSL, Visualforce, Platform Events, Change Data Capture, Healthcare environment experience, Salesforce Certified Platform Developer I, Salesforce Certified Platform Developer II",https://jobright.ai/jobs/info/69f7664ba3d34b4f76f5b821,https://jsv3.recruitics.com/redirect?rx_cid=3292&rx_jobId=2026-463529&rx_url=https%3A%2F%2Fwww.commonspirit.careers%2Fjob%2F-%2F-%2F35300%2F94497035552%3Fiis%3DLinkedinSlots%26iisn%3DLinkedinSlots%26mode%3Djob%26rx_campaign%3DLinkedin1%26rx_ch%3Dconnector%26rx_group%3D117215%26rx_id%3Dd08d5b16-443b-11f1-81d1-fb9b56edb882%26rx_job%3D2026-463529%26rx_medium%3Dpost%26rx_r%3Dnone%26rx_source%3DLinkedin%26rx_vp%3Dslots
PENNYMAC,Platform Engineer,"Carrollton, TX",11 hours ago,$90K/yr - $150K/yr,Onsite,80.4813,200,3,True,"Amazon Web Services (AWS), Terraform, AWS CloudFormation, AWS CDK, GitLab CI/CD, CI/CD pipeline design, Python scripting, Ruby scripting, PowerShell scripting, Bash scripting","Windows Server administration, Linux Server administration, Infrastructure-as-code (IaC), Deployment of .NET applications, Cloud security best practices, Networking principles, Monitoring, Logging tools",https://jobright.ai/jobs/info/6986e25f8ca8121a3a6966bc,https://careers.pennymac.com/jobs/37879/Platform+Engineer?lang=en-US&mode=apply&iis=LinkedIn&iisn=LinkedIn
Qualcomm,Software Engineer - Camera (Multiple Levels Available),"San Diego, CA",10 hours ago,$99K/yr - $148K/yr,Onsite,82.3484,200,2,True,"3A algorithms, Algorithm design, C programming, C++ programming, Python programming","Camera software development, Image Signal Processor (ISP), Image Quality (IQ), Tuning tools, Software architecture, Embedded systems, Computer architecture",https://jobright.ai/jobs/info/69c35eac7a7a0045db89136f,https://careers.qualcomm.com/careers/job/446715472289?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2
Cliff Services Inc,W2 Full Stack Java Developer (Kotlin + React + AI Tools),United States,12 hours ago,N/A,Remote,97.2353,35,N/A,True,"Java, React JS, Microservices architecture, REST APIs, Databases, Cloud environments, Git, CI/CD pipelines","Kotlin, Spring Boot",https://jobright.ai/jobs/info/69daa497738f2f099e8abc84,https://www.linkedin.com/jobs/view/4400594997
Old National Bank,Application Developer,"Evansville, IN",10 hours ago,$62K/yr - $153K/yr,Onsite,78.4172,78,3,True,"CL programming, Systems development life cycle","RPG programming, Embedded SQL, Change management systems, Financial industry knowledge",https://jobright.ai/jobs/info/696aa72bdb26b618950dcedb,https://careers-oldnational.icims.com/jobs/19074/application-analyst-iii/job?in_iframe=1&mode=apply&iis=LinkedIn&iisn=LinkedIn
Amazon Music,"Software Development Engineer, Music Metrics & Data Platform","San Francisco, CA",10 hours ago,$165K/yr - $224K/yr,Onsite,83.1468,200,2,True,"Software development, System design, Programming languages, Full software development lifecycle, Concurrent, AWS products, Code review feedback","Architecture, Mobile app development, Distributed systems, Services, Kotlin Multiplatform, Cross-platform SDK development",https://jobright.ai/jobs/info/69856bb08da7a612045ffde8,https://www.amazon.jobs/jobs/3175027/software-development-engineer-music-metrics--data-platform?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid
Anything,Product Engineer,"San Francisco, CA",10 hours ago,$125K/yr - $200K/yr,Onsite,81.4879,200,4,True,"TypeScript, React, Postgres, Data modeling, APIs, System design, Debugging","Frontend development, Tailwind, Backend fundamentals, Product ownership, Product engineering, Clear written",https://jobright.ai/jobs/info/69616e5ef3f4cd1325066570,https://jobs.ashbyhq.com/anything/643cd75f-6231-472d-b70e-1bec8c3e7d69/application?utm_source=ongJb0rM8a
Qualcomm,Sr AI Researcher for Agentic AI Core System Architecture,"San Diego, CA",11 hours ago,$159K/yr - $239K/yr,Onsite,91.7886,39,2,True,"Deep learning, Generative AI, Python, PyTorch, Reinforcement Learning (RL), Agentic AI concepts, LangChain, Software engineering principles, Version control, Git, Independent work","Transformers, Supervised Fine-Tuning (SFT), Managing multiple priorities",https://jobright.ai/jobs/info/69ebe569dc35f7132c4b442b,https://careers.qualcomm.com/careers/job/446716514171?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2
Toyota Material Handling,IT Application Developer,"Greene, NY",10 hours ago,$94K/yr - $121K/yr,Hybrid,93.4633,92,3,True,"Programming languages, Operating systems, Software testing, Data management, Version control systems, Troubleshooting, Debugging","Software security measures, UI/UX design concepts, Customer service, Analytical skills",https://jobright.ai/jobs/info/69d1e5190b098b7a67085197,https://recruiting.adp.com/srccar/public/RTI.home?r=5001181859406&c=1138141&d=TMHUCareerSite&rb=LINKEDIN
MSCI Inc.,AI Index Research Analyst,"New York, United States",6 hours ago,$110K/yr - $143K/yr,Hybrid,64.4723,200,1,True,"Large language models (LLMs), Applied AI research, Python programming, LangChain, SQL, Cloud environments, Azure, AWS, API-based solutions, Detail-oriented mindset","Retrieval-augmented generation (RAG) systems, Agentic workflows, AI orchestration frameworks, LlamaIndex, Snowflake, ClickHouse, GCP, Financial indexes, Investing, Thematic investing, Multi-step reasoning systems, Analytical skills",https://jobright.ai/jobs/info/69a322520da45516f16c6e06,https://careers.msci.com/job/research/new-york/ai-index-research-analyst/2025-4331?mode=apply&iis=LinkedIn
Kemper,Python Engineer Manager,"Downers Grove, IL",10 hours ago,$99K/yr - $165K/yr,Onsite,84.6259,34,5,True,"Python development, Data engineering, Data analysis, Cloud platforms, Data manipulation techniques, Data ingestion patterns, Analytical problem-solving","Data visualization, Actuarial principles, Insurance data structures, Regulatory compliance, Test-driven development",https://jobright.ai/jobs/info/69e961050a6e09555303b8c2,https://kemper.wd5.myworkdayjobs.com/Kemper_Careers/job/Downers-Grove-IL/Python-Engineer-Manager_R-26-0036079?source=LinkedIn
Deloitte,"Senior Full Stack Engineer, Platforms","Austin, TX",13 hours ago,$89K/yr - $182K/yr,Hybrid,89.376,55,5,True,"Object-Oriented Programming, Data Structures, Algorithms, Angular, React, NodeJS, Python, Java, SQL, NoSQL, Cloud-Native Engineering, Microservices, Azure, AWS, GitHub, Artificial Intelligence (AI)","Code Instrumentation, C#, .NET Core, Golang, Function as a Service (FaaS), Platform as a Service (PaaS), Google Cloud Platform (GCP), Extreme Programming (XP), Lean Methodology, Scaled Agile Framework (SAFe), DevSecOps, Site Reliability Engineering (SRE), Azure DevOps (ADO), SonarQube",https://jobright.ai/jobs/info/69f72785b1fc847fc1ae4fb7,https://apply.deloitte.com/en_US/careers/InviteToApply?jobId=327094&source=LinkedIn
Cyngn,Full Stack Software Engineer,"Mountain View, CA",9 hours ago,$153K/yr - $171K/yr,Hybrid,77.9761,200,2,True,"Python, TypeScript, JavaScript, API development, SQL, NoSQL, WebSockets, Event-driven systems, Performance tuning, Collaborative approach","Kafka, RabbitMQ, Pulsar, IoT, Robotics, Autonomy software, Fleet management software, AI coding assistants, Physical AI simulation tooling, Low ego",https://jobright.ai/jobs/info/69696fc91703f05405ab5476,https://jobs.lever.co/cyngn/ee7518e1-7f77-4655-b07d-ea968ec82127/apply?source=jobright
Applied Intuition,Software Engineer - Developer Infrastructure,"Sunnyvale, California, United States",16 hours ago,$120K/yr - $300K/yr,Onsite,84.0188,43,2,True,"Software Development, C++, Python, TypeScript, API Development, Code Quality, CI/CD, SQLAlchemy, Docker, Kubernetes, Terraform, AWS, Linux","Developer Infrastructure, Go, Library, Framework Development, Bazel, Buildkite, Service Architecture, GRPC, Fx (Golang), Ansible, Cloud Deployment, GCP, Drive",https://jobright.ai/jobs/info/6863199bf31c4006c6c3a06e,https://boards.greenhouse.io/embed/job_app?token=4581501005&utm_source=jobright
CDW,Senior AI Engineer,"Illinois, United States",5 hours ago,$124K/yr - $175K/yr,Onsite,80.4881,200,5,True,"AI/ML applications, Large Language Models (LLMs), LangChain, Vector databases, Prompt Engineering, ReAct, CI/CD pipelines, API integration","Orchestration frameworks, LangGraph, Pinecone, Weaviate, Pgvector, Chain-of-Thought, Few-Shot Prompting, Tracing tools",https://jobright.ai/jobs/info/6986441e8da7a6120460f57a,https://www.cdwjobs.com/en/jobs/17247084-senior-ai-engineer?bid=370&rx_campaign=Linkedin1&rx_ch=connector&rx_group=110011&rx_id=295ef5ef-f70d-11f0-965c-dfddfc4e1258&rx_job=R26_00000124&rx_medium=post&rx_r=none&rx_source=Linkedin&rx_ts=20260412T061203Z&rx_vp=slots&tm_company=2376&tm_event=view&tm_job=R26_00000124
Arevon,"Software Developer, Business Systems & Analytics","Scottsdale, AZ",13 hours ago,N/A,Onsite,84.428,25,2,True,"Python, JavaScript, React, Redux, AWS, Django REST framework, Docker, MongoDB, PostgreSQL, GitHub, Terraform, Single-page application development","Vite, Snowflake, TimescaleDB, CircleCI, UI/UX design for data-intensive software, Backend systems for large data volumes, Self-sufficient problem solving, Autonomy",https://jobright.ai/jobs/info/69e2cee93ce36005badbfdfd,https://boards.greenhouse.io/embed/job_app?token=5027450007&utm_source=jobright
Invesco,"Adv Eng, SIP","Houston, TX",5 hours ago,N/A,Onsite,95.8974,54,3,True,"Python, TypeScript, React, NodeJS, SQL, Containerization, Docker, Git, AWS Cloud, CI/CD Automation, Generative AI, Large Language Models, Azure API Management, LangChain","Full Stack Development, .NET ASPCORE, Test Driven Development, Azure AI Services",https://jobright.ai/jobs/info/69db43175356a60f40fe623e,https://invesco.wd1.myworkdayjobs.com/IVZ/job/Atlanta-Georgia/Adv-Eng--SIP_R-13382?source=LinkedIn
Hyatt,Senior Product Engineer (Remote Opportunity),United States,10 hours ago,$115K/yr - $145K/yr,Remote,84.3648,72,5,True,"Software Engineering, Java, JavaScript, AngularJS, Node.js, SQL, RESTful Services, API Development, APIGEE, Continuous Integration, Continuous Deployment, Git, Bash Scripting","Software Architecture, Agile Methodology, Spring Boot, Hibernate, JPA, MyBatis, Relational Database Design, Nginx, JSON, Apache Kafka, Automated Testing, Karma, Selenium, Protractor, WebDriver, Jasmine, Jenkins",https://jobright.ai/jobs/info/69e96129e0cd471b2f13d0fe,https://careers.hyatt.com/en-US/careers/jobdetails/10780/CHI015253?src=SNS-102
StubHub,Software Engineer II - Active Support,"New York, NY",12 hours ago,$165K/yr - $200K/yr,Hybrid,79.2663,200,2,True,"Java, Python, Debugging, API Design, Data Modeling, AI Integration","Backend Development, Golang, Service Ownership, Monitoring, Service Architecture, Scalable Distributed Systems, Automation, Agentic Systems",https://jobright.ai/jobs/info/69a113b66b458d060735c93c,https://job-boards.eu.greenhouse.io/stubhubinc/jobs/4791891101?gh_src=47e65a22teu
Cornerstone OnDemand,Senior Software Engineer,"Dublin, CA",11 hours ago,$115K/yr - $183K/yr,Onsite,95.0379,200,5,True,"Java, AWS, SQL, NoSQL, RESTful APIs, GraphQL, Docker, Kubernetes, AI integration, Cloud-native services","Backend development, Service-oriented architectures, Quality-first mindset",https://jobright.ai/jobs/info/69a28a5c359fe034b1cdd611,https://cornerstone.csod.com/ux/ats/careersite/2/home/requisition/10972?c=cornerstone&source=LinkedIn
