Bucket,Score,Company,Title,Template,Folder,URL,Apply Link,Skills Added,Authentic Missing (all),Matched (CSV),Compile
SDE,97.19,Zoox,AI Developer Productivity Engineer,SEPY,Company_wise_Resume/Zoox_AI_Developer_Productivity_Engineer,https://jobright.ai/jobs/info/667516b259005313f1c81fe3,https://jobs.lever.co/zoox/fe3ec246-6f0a-4405-9ae8-10e322ac6799/apply?source=LinkedIn,Full-stack development; Backend development,Full-stack development; Backend development,"System design, Data structures, Algorithms, Python, C++, LLM evaluation metrics, Performance optimization, Vector databases",FAIL
SDE,97.01,"Yaskawa America, Inc. -  Drives & Motion Division",Software Engineer C,SEPY,Company_wise_Resume/Yaskawa_America_Inc_-_Drives_Motion_Division_Software_Engine,https://jobright.ai/jobs/info/69eb12b5dc35f7132c4ad420,https://recruiting.ultipro.com/YAS1000YAAMI/JobBoard/8a2317d2-a61e-4259-a857-722d164a211c/OpportunityDetail?opportunityId=9abb3111-f9c9-460a-a35b-ecbd9a306243&source=LinkedIn&utm_source=LINKEDIN,Agile,Agile,"Programming languages, C++, SQL, Python, Software development lifecycle, Coding practices",FAIL
SDE,96.31,Uber,Senior Software Engineer - Middleware - AV Labs,SEPY,Company_wise_Resume/Uber_Senior_Software_Engineer_-_Middleware_-_AV_Labs,https://jobright.ai/jobs/info/69f7db800b36ff035475843a,https://www.uber.com/careers/list/159127,,,"Python, C++, Linux",FAIL
SDE,95.90,Invesco,"Adv Eng, SIP",SEPY,Company_wise_Resume/Invesco_Adv_Eng_SIP,https://jobright.ai/jobs/info/69db43175356a60f40fe623e,https://invesco.wd1.myworkdayjobs.com/IVZ/job/Atlanta-Georgia/Adv-Eng--SIP_R-13382?source=LinkedIn,Full Stack Development,Full Stack Development,"Python, TypeScript, React, NodeJS, SQL, Containerization, Docker, Git, AWS Cloud, CI/CD Automation, Generative AI, Large Language Models, Azure API Management, LangChain",FAIL
SDE,95.52,Glimpse,Software Engineer,SEPY,Company_wise_Resume/Glimpse_Software_Engineer,https://jobright.ai/jobs/info/69bd8c254828227293ffc822,https://jobs.ashbyhq.com/glimpse/767a3a59-53d6-4306-afae-6b05a265ba82/application?utm_source=4M0PNbwNk7&src=linkedin,Full-stack development; Next.js,Full-stack development; Next.js,"Python, Node.js, Large Language Models (LLMs), MongoDB, PostgreSQL, Team-oriented attitude",FAIL
SDE,95.31,Amazon,"Language Engineer, Artificial General Intelligence - Data Services",SEPY,Company_wise_Resume/Amazon_Language_Engineer_Artificial_General_Intelligence_-_D,https://jobright.ai/jobs/info/6932a977f131d96e4845d6d9,https://www.amazon.jobs/jobs/3137792/language-engineer-artificial-general-intelligence--data-services?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,Agile,Agile,"Language data processing, AI data creation, Language data annotation systems, Python, Speech data processing, Machine Learning, API, Version control, Database queries, Data analysis",FAIL
SDE,95.04,Cornerstone OnDemand,Senior Software Engineer,SEPY,Company_wise_Resume/Cornerstone_OnDemand_Senior_Software_Engineer,https://jobright.ai/jobs/info/69a28a5c359fe034b1cdd611,https://cornerstone.csod.com/ux/ats/careersite/2/home/requisition/10972?c=cornerstone&source=LinkedIn,Backend development,Backend development,"Java, AWS, SQL, NoSQL, RESTful APIs, GraphQL, Docker, Kubernetes, AI integration, Cloud-native services",FAIL
SDE,94.32,Atlantic Group,Application Developer,SEPY,Company_wise_Resume/Atlantic_Group_Application_Developer,https://jobright.ai/jobs/info/69f7cb4da3d34b4f76f5bd24,https://www.linkedin.com/jobs/view/4409883453,,,"TypeScript, Angular, React, Containerization, CI/CD tools, Python, Software design principles, System design, Cloud-based environments, AWS, Azure, Relational databases, MSSQL, PostgreSQL, SQL",FAIL
SDE,94.21,Synechron,.NET Lead Full Stack Developer (React & Copilot),FS,Company_wise_Resume/Synechron_NET_Lead_Full_Stack_Developer_React_Copilot,https://jobright.ai/jobs/info/69f76827582f810f9c8cbf7a,https://www.linkedin.com/jobs/view/4407707603,Agile,Agile,"React.js, GitHub Copilot, RESTful APIs, Web Services, CI/CD pipelines, Cloud services - Azure, Cloud services - AWS, SQL Server, MySQL, PostgreSQL, DevOps practices",FAIL
SDE,94.00,Uber,Software Engineer II - Grocery & Retail,SEPY,Company_wise_Resume/Uber_Software_Engineer_II_-_Grocery_Retail,https://jobright.ai/jobs/info/69f6f0f3582f810f9c8ca9c1,https://tnl2.jometer.com/v2/job?jz=5wqzs98ab76aa9adf43be743ca79443f70821KMAGUCAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=LinkedIn,Backend development; Distributed Systems,Backend development; Distributed Systems,"Java, C++, Python, Microservices architecture, Code review, Unit testing, Integration testing, Algorithm development, Data structures",FAIL
SDE,93.46,Toyota Material Handling,IT Application Developer,SEPY,Company_wise_Resume/Toyota_Material_Handling_IT_Application_Developer,https://jobright.ai/jobs/info/69d1e5190b098b7a67085197,https://recruiting.adp.com/srccar/public/RTI.home?r=5001181859406&c=1138141&d=TMHUCareerSite&rb=LINKEDIN,,,"Programming languages, Operating systems, Software testing, Data management, Version control systems, Troubleshooting, Debugging",FAIL
SDE,93.42,Supermicro,Software QA Engineer (27301),SEPY,Company_wise_Resume/Supermicro_Software_QA_Engineer_27301,https://jobright.ai/jobs/info/69d55610366bb95ba5544340,https://jobs.supermicro.com/job/San-Jose-Software-QA-Engineer-%2827301%29-Cali/1316818500/?utm_source=LINKEDIN&utm_medium=referrer&LinkedIn%20Job%20Slots=utm_source=linkedinjobpostings,,,"Software Quality Assurance, Shell Scripting, Python",FAIL
SDE,93.13,Tektronix,DevOps Engineering Co‑Op (Summer or Fall 2026),SEPY,Company_wise_Resume/Tektronix_DevOps_Engineering_CoOp_Summer_or_Fall_2026,https://jobright.ai/jobs/info/69a89f0679f3f4037f42bd8e,https://ralliant.eightfold.ai/careers/job/1133910911010?domain=ralliant.com&utm_source=linkedin&utm_medium=jobboard,Bash,Bash,"Python, Programming fundamentals, CI/CD concepts",FAIL
SDE,93.00,Old Mission,Front End Software Engineer,FE,Company_wise_Resume/Old_Mission_Front_End_Software_Engineer,https://jobright.ai/jobs/info/69caa730e565c26a7003f40a,https://boards.greenhouse.io/embed/job_app?token=6549687003&utm_source=jobright,Automated Testing,Automated Testing,"React, JavaScript frameworks, TypeScript, Redux, Websockets, Protocol Buffers, Linux, Postgres, Team player mentality",FAIL
SDE,92.73,Qualcomm,Agentic AI Benchmarking and Evaluation Engineer,SEPY,Company_wise_Resume/Qualcomm_Agentic_AI_Benchmarking_and_Evaluation_Engineer,https://jobright.ai/jobs/info/69f74496a3d34b4f76f5b087,https://careers.qualcomm.com/careers/job/446715596289?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2,TensorFlow,TensorFlow,"Software development, Debugging, Machine learning fundamentals, Generative AI, Large language models, Neural network architectures, PyTorch, Python, AI agent frameworks",FAIL
SDE,92.33,Supermicro,Software Engineer,SEPY,Company_wise_Resume/Supermicro_Software_Engineer,https://jobright.ai/jobs/info/69be0cfab106024562836f24,https://jobs.supermicro.com/job/San-Jose-Software-Engineer-Cali/1337650200/?utm_source=LINKEDIN&utm_medium=referrer&LinkedIn%20Job%20Slots=utm_source=linkedinjobpostings,Automated Testing,Automated Testing,"Relational databases, MySQL, MSSQL, Containers, Docker, Kubernetes, Python, Java, Shell scripting, PHP",FAIL
SDE,92.10,"Eccalon, LLC",Full Stack Developer,FS,Company_wise_Resume/Eccalon_LLC_Full_Stack_Developer,https://jobright.ai/jobs/info/69f69a61b1fc847fc1ae409a,https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=7079382&B_ID=91&fid=1&Adid=0&ssbgcolor=5B5B5B&SearchScreenID=23884&CountryID=3&LanguageID=2,Full Stack Development; Next.js,Full Stack Development; Next.js; RAG,"React, JavaScript, TypeScript, Node.js, Python, Express.js, Prompt Engineering, Relational Databases, PostgreSQL, NoSQL Databases, DynamoDB, RESTful API Design, Microservices Architecture, AWS Services, Git, CI/CD Pipelines",FAIL
SDE,91.92,Cliff Services Inc,W2 Java Developer (Kotlin + AI Tools Preferred),SEJV,Company_wise_Resume/Cliff_Services_Inc_W2_Java_Developer_Kotlin_AI_Tools_Preferr,https://jobright.ai/jobs/info/69daa282b67cec4f9b0abc30,https://www.linkedin.com/jobs/view/4400606574,Spring Boot; Backend Development,Spring Boot; Backend Development,"Java, Microservices, REST APIs, Databases, Cloud Environments",FAIL
SDE,91.79,Qualcomm,Sr AI Researcher for Agentic AI Core System Architecture,SEPY,Company_wise_Resume/Qualcomm_Sr_AI_Researcher_for_Agentic_AI_Core_System_Archite,https://jobright.ai/jobs/info/69ebe569dc35f7132c4b442b,https://careers.qualcomm.com/careers/job/446716514171?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2,,,"Deep learning, Generative AI, Python, PyTorch, Reinforcement Learning (RL), Agentic AI concepts, LangChain, Software engineering principles, Version control, Git, Independent work",FAIL
SDE,91.69,Google,"Software Engineer III, Mobile (Android), YouTube",FS,Company_wise_Resume/Google_Software_Engineer_III_Mobile_Android_YouTube,https://jobright.ai/jobs/info/69f74bd1a3d34b4f76f5b256,https://careers.google.com/jobs/results/102081500060492486-software-engineer-iii/?src=Online/LinkedIn/linkedin_us&utm_source=linkedin&utm_medium=jobposting&utm_campaign=contract,,,"C++, Java, Performance analysis, Debugging, Data structures, Algorithms, Software test engineering",FAIL
SDE,91.32,Cloudflare,"Software Engineer, Global Resource Management",SEPY,Company_wise_Resume/Cloudflare_Software_Engineer_Global_Resource_Management,https://jobright.ai/jobs/info/69ace3342747003c3d5275d4,https://boards.greenhouse.io/cloudflare/jobs/7340134?gh_jid=7340134&gh_src=5ylsd31&source=LinkedIn,Distributed Systems,Distributed Systems,"Software Development, Systems Design, Code Review",FAIL
SDE,91.18,Cushman & Wakefield,Artificial Intelligence Lead (Engineer),SEPY,Company_wise_Resume/Cushman_Wakefield_Artificial_Intelligence_Lead_Engineer,https://jobright.ai/jobs/info/69868cac8ca8121a3a68da48,https://cw.wd1.myworkdayjobs.com/External/job/Remote-CW-Site---USA---Flexible-United-States/Artificial-Intelligence-Lead--Engineer-_R302368?source=LinkedIn,PySpark,PySpark,"Python, TypeScript, Node.js, SQL, Machine learning, Deep learning, Generative AI, Data modeling, Vector databases, Event-driven architectures, API development, Microservices, Software engineering fundamentals, LLM integration, Multimodal AI integration, Operating in fast-paced environments",FAIL
SDE,91.01,Carbon Robotics,"Jr. Software Engineer, Robot Systems",SEPY,Company_wise_Resume/Carbon_Robotics_Jr_Software_Engineer_Robot_Systems,https://jobright.ai/jobs/info/69f6f0efb1fc847fc1ae4c02,https://boards.greenhouse.io/embed/job_app?token=4672950006&utm_source=jobright,Bash,Bash,"C++, Python, Git, Docker, Computer vision algorithms, Effective verbal communication, Effective written communication",FAIL
SDE,90.53,Andreessen Horowitz,"Partner 20, Applied ML, Engineer, ASG",SEPY,Company_wise_Resume/Andreessen_Horowitz_Partner_20_Applied_ML_Engineer_ASG,https://jobright.ai/jobs/info/69bddc7a393a1008f743af8f,https://www.linkedin.com/jobs/view/4388586661,TensorFlow; MLflow; Apache Airflow; GCP,TensorFlow; MLflow; Apache Airflow; GCP,"Machine Learning, Python, Statistical Modeling, NumPy, Scikit-learn, PyTorch, ML Model Deployment, Containerization, Docker, Kubernetes, Cloud Computing, Data Storage, Compute Services",FAIL
SDE,90.09,OpenAI,"Fullstack Engineer, Intelligence Systems",FS,Company_wise_Resume/OpenAI_Fullstack_Engineer_Intelligence_Systems,https://jobright.ai/jobs/info/69154f2f286ccf0a1512d304,https://jobs.ashbyhq.com/openai/52c72cb9-7c44-4cba-b440-e05262a38491/application,,,"Data Analysis, SQL, Python, AI Techniques, Project Management, Cross-functional Team Collaboration",FAIL
SDE,89.89,Capital One,Applied Researcher II (AI Foundations),SEPY,Company_wise_Resume/Capital_One_Applied_Researcher_II_AI_Foundations,https://jobright.ai/jobs/info/69a2c08ab600907a96292ee0,https://www.capitalonecareers.com/job/-/-/234/92195849728?p_sid=6ONq0Nb&p_uid=mAIpvNJmQJ&source=rd_linkedin_job_posting_Tech_tm&ss=paid&utm_campaign=tech_26&utm_content=pj_board&utm_medium=jobad&utm_source=linkedin+slotted,,,"AI foundation models, Machine learning, Deep learning, Natural language processing (NLP), Self-supervised learning, Reinforcement learning from human feedback (RLHF), Cloud computing platforms, Open-source programming languages, Large language models (LLMs), Model fine-tuning, Transfer learning, Model adaptation, Model guidance",FAIL
SDE,89.58,CommerceIQ,Software Engineer,SEPY,Company_wise_Resume/CommerceIQ_Software_Engineer,https://jobright.ai/jobs/info/69e16ad9fd1c0456f3fae386,https://boards.greenhouse.io/embed/job_app?token=7703493003&utm_source=jobright,Backend development; Full-stack development,Backend development; Full-stack development,"Java, Python, AI tools, Cloud services, Microservices, CI/CD",FAIL
SDE,89.55,Fanatics,"Fullstack, Software Engineer II, Sportsbook - FBG",FS,Company_wise_Resume/Fanatics_Fullstack_Software_Engineer_II_Sportsbook_-_FBG,https://jobright.ai/jobs/info/69d9cd0a5356a60f40fdcad5,https://job-boards.greenhouse.io/fanaticsfbg/jobs/4216147009?gh_src=k819kf909us,Kafka; GCP; Agile; Scrum,Kafka; GCP; Agile; Scrum,"Java, Spring Boot Microservices, Version control tools, Git, Object-oriented programming, Design patterns, AWS, Docker, Kubernetes, Continuous Integration/Continuous Deployment, Software design principles, A/B testing, Event-driven architecture, System debugging",FAIL
SDE,89.52,NiCE,Software Engineer - AI Coding Agents,SEPY,Company_wise_Resume/NiCE_Software_Engineer_-_AI_Coding_Agents,https://jobright.ai/jobs/info/69bdc8104828227293004025,https://boards.eu.greenhouse.io/nice/jobs/4818465101?gh_jid=4818465101,Backend development; GCP,Backend development; GCP,"Typescript, Python, Cloud environments, APIs, Microservices, Event-driven systems, AI/ML concepts, Large language models, AI SDKs, AWS, Azure, CI/CD, Docker, Kubernetes, Work in a fast-paced environment",FAIL
SDE,89.42,Cresta,"Senior/Staff Backend Engineer (AI Agent), Remote",SEJV,Company_wise_Resume/Cresta_SeniorStaff_Backend_Engineer_AI_Agent_Remote,https://jobright.ai/jobs/info/b2b_1769670052353_604,https://jobright.ai/jobs/info/b2b_1769670052353_604,,,"Cloud services, API design, Containerization Kubernetes, Containerization Docker, Cloud environments Azure",FAIL
DE,93.09,Ascot Group,Business Intelligence Engineer,DE,Company_wise_Resume/Ascot_Group_Business_Intelligence_Engineer,https://jobright.ai/jobs/info/69a22eff359fe034b1cd6c9a,https://fa-emkq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/897/?utm_medium=jobshare,,,"Power BI, SQL, Data modeling, Relational databases, ETL concepts",FAIL
DE,90.15,Venture Global LNG,Data Engineer,DE,Company_wise_Resume/Venture_Global_LNG_Data_Engineer,https://jobright.ai/jobs/info/69a0defc81476f6176bb318d,https://boards.greenhouse.io/embed/job_app?token=8182349002&utm_source=jobright,,Apache Spark,"Cloud Architecture, Data Engineering, Azure, Data Processing, Data Integration, Parallel Processing, SQL, Python, Azure Data Factory, Azure Databricks, Data Pipeline Development",FAIL
DE,89.65,Vectra AI,Senior Data Platform Engineer,DE,Company_wise_Resume/Vectra_AI_Senior_Data_Platform_Engineer,https://jobright.ai/jobs/info/69f510c812f2811ab5a62c38,https://boards.greenhouse.io/embed/job_app?token=7815917&utm_source=jobright,,,"Software development, Real time data processing, Databases, Data management, Object oriented programming, Python, Data structures, Algorithms, Unix/Linux, Source control, Git, Containerization, Docker, Kubernetes, Cloud providers, AWS, Debugging",FAIL
DE,88.33,Mitchell Martin Inc.,"Data Engineer (dbt, Snowflake)",DE,Company_wise_Resume/Mitchell_Martin_Inc_Data_Engineer_dbt_Snowflake,https://jobright.ai/jobs/info/69f73e56582f810f9c8cb298,https://www.linkedin.com/jobs/view/4397067545,,,"Data Transformation, Data Modeling, Cloud Architectures, SQL, Data Security Management",FAIL
DE,83.15,Amazon Music,"Software Development Engineer, Music Metrics & Data Platform",DE,Company_wise_Resume/Amazon_Music_Software_Development_Engineer_Music_Metrics_Dat,https://jobright.ai/jobs/info/69856bb08da7a612045ffde8,https://www.amazon.jobs/jobs/3175027/software-development-engineer-music-metrics--data-platform?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,Distributed Systems,Distributed Systems,"Software development, System design, Programming languages, Full software development lifecycle, Concurrent, AWS products, Code review feedback",FAIL
DE,82.06,Quality Theorem,Data Engineer,DE,Company_wise_Resume/Quality_Theorem_Data_Engineer,https://jobright.ai/jobs/info/69f77add582f810f9c8cc03f,https://www.linkedin.com/jobs/view/4409867477,Apache Airflow; Monitoring Tools,Apache Airflow; Monitoring Tools; CloudWatch,"Data Engineering, Database Administration, PostgreSQL, MongoDB, SQL, AWS Database Services, Python, Scripting Language, MongoDB Replica Sets, MongoDB Sharding, MongoDB Indexing, PostgreSQL Replication, PostgreSQL Performance Tuning, PostgreSQL Connection Pooling, MongoDB Atlas, Database Security",FAIL
DE,78.36,Bose Corporation,Sr. Data Scientist,DE,Company_wise_Resume/Bose_Corporation_Sr_Data_Scientist,https://jobright.ai/jobs/info/68ddad01a125e75c422ae185,https://boseallaboutme.wd503.myworkdayjobs.com/Bose_Careers/job/US-MA---Framingham/Sr-Data-Scientist_R28360?source=LinkedIn,,Apache Spark,"Data Science, Machine Learning, AI, Optimization, SQL, Python, Project Management, Strategic Thinking",FAIL
DE,77.93,Capital One,"Manager, Data Scientist - Recommendation & Personalization Systems",DE,Company_wise_Resume/Capital_One_Manager_Data_Scientist_-_Recommendation_Personal,https://jobright.ai/jobs/info/696ae3d7350cf43803120d84,https://www.capitalonecareers.com/job/-/-/234/90651080096?p_sid=peZOqyb&p_uid=CBc5vdCRha&ss=paid&utm_campaign=data_science_toh_26&utm_content=pj_board&utm_medium=jobad&utm_source=jobright,,Apache Spark; PySpark,"Python, AWS, Machine Learning, Relational Databases, Deep Learning, MLOps, Customer focus, Innovation, Technical aptitude",FAIL
DE,75.32,Deloitte,Data Engineer - Project Delivery Analyst,DE,Company_wise_Resume/Deloitte_Data_Engineer_-_Project_Delivery_Analyst,https://jobright.ai/jobs/info/69f644ea81706a5bd216867e,https://apply.deloitte.com/en_US/careers/InviteToApply?jobId=327271&source=LinkedIn,Snowflake,Snowflake; PySpark,"Data pipeline development, Data curation for analytics, SQL, Python, Cloud data engineering - Azure, S3 file formats, DevOps practices, CI/CD, Infrastructure-as-Code - Terraform, Data quality, Metadata, Data governance",FAIL
DE,73.90,Crum & Forster,Data Engineer,DE,Company_wise_Resume/Crum_Forster_Data_Engineer,https://jobright.ai/jobs/info/69a1da6d359fe034b1cd236c,https://careers-cfins.icims.com/jobs/4817/data-engineer/job?mode=apply&iis=LinkedIn&iisn=LinkedIn,JSON,JSON,"SQL, Python, AWS S3, AWS Lambda Functions, Semi-structured data handling, Complex SQL queries, APIs, Troubleshooting, Take ownership",FAIL
DE,66.61,Zipline,Fullstack - Data Platform (Autonomy),DE,Company_wise_Resume/Zipline_Fullstack_-_Data_Platform_Autonomy,https://jobright.ai/jobs/info/69be4561393a1008f7443057,https://www.zipline.com/careers?gh_jid=7607673003,Flask; FastAPI,Flask; FastAPI,"Working with complex JSON/nested data structures, Typescript, React, Cloud databases",FAIL
DE,65.21,Whatnot,Data Engineer,DE,Company_wise_Resume/Whatnot_Data_Engineer,https://jobright.ai/jobs/info/68f9338b6de2db04dc3e6925,https://jobs.ashbyhq.com/whatnot/9fd6fef1-619f-48dd-97b0-c91063432df3/application?utm_source=LinkedInJobWrapping,Kafka; Apache Airflow; Snowflake; Infrastructure as Code,Kafka; Apache Spark; Apache Airflow; Snowflake; BigQuery; Redshift; Infrastructure as Code,"Data modeling, Data transformation, Python, SQL, CI/CD",FAIL
DE,60.60,Atlantic Group,Data Engineer,DE,Company_wise_Resume/Atlantic_Group_Data_Engineer,https://jobright.ai/jobs/info/69c841491818a24cd84d3df6,https://www.linkedin.com/jobs/view/4392093935,Snowflake,Snowflake,"SQL, Performance tuning, Data modeling",FAIL
AI,97.44,TikTok,(General Hire) Research Scientist Graduate (TikTok Recommendation) - 2026 Start (BS/MS),AI,Company_wise_Resume/TikTok_General_Hire_Research_Scientist_Graduate_TikTok_Recom,https://jobright.ai/jobs/info/694cc8b629655e4dd656f7cb,https://lifeattiktok.com/search/7532216894792222994?spread=5MWH5CQ,,,"Software Development, Computer Science, Computer Engineering, Programming - C++, Programming - Python, Algorithms, Data Structures, Machine Learning, Deep Learning Frameworks - PyTorch, Deep Learning Frameworks - TensorFlow, Natural Language Processing, Computer Vision, Recommender Systems",FAIL
AI,96.82,Qualcomm,"Senior Engineer, Machine Learning ( Agentic AI SW )",AI,Company_wise_Resume/Qualcomm_Senior_Engineer_Machine_Learning_Agentic_AI_SW,https://jobright.ai/jobs/info/69a55561b600907a962af721,https://careers.qualcomm.com/careers/job/446716557466?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2,,,"C++, Python, Deep Learning, Machine Learning Frameworks, PyTorch, Software Design, Software Development, Software Debugging, AI Software Stack",FAIL
AI,95.28,Glean,"Machine Learning Engineer, LLM Evals & Observability",AI,Company_wise_Resume/Glean_Machine_Learning_Engineer_LLM_Evals_Observability,https://jobright.ai/jobs/info/69a8f13579f3f4037f438b51,https://boards.greenhouse.io/embed/job_app?token=4669417005&utm_source=jobright,Distributed data pipelines,Distributed data pipelines,"Software engineering, Go programming, Python programming, Large language model evaluation, Reinforcement learning from human feedback, Natural language processing, Machine learning",FAIL
AI,94.86,Amazon Science,Applied Scientist III - AMZ9898584,AI,Company_wise_Resume/Amazon_Science_Applied_Scientist_III_-_AMZ9898584,https://jobright.ai/jobs/info/69f7397a81706a5bd216b3e1,https://www.amazon.jobs/jobs/10405965/applied-scientist-iii--amz?cmpid=bsp-amazon-science,,,"Programming in Java, Programming in C++, Programming in Python, Supervised machine learning, Unsupervised machine learning, Statistical modeling, Bayesian models, Deep neural networks, Optimization methods, Machine learning model development, Machine learning model deployment",FAIL
AI,93.79,Google,"Software Engineer III, AI/ML GenAI, Search",AI,Company_wise_Resume/Google_Software_Engineer_III_AIML_GenAI_Search,https://jobright.ai/jobs/info/69a2511fb600907a96289a3b,https://careers.google.com/jobs/results/123496138278871750-software-engineer-iii/?src=Online/LinkedIn/linkedin_us&utm_source=linkedin&utm_medium=jobposting&utm_campaign=contract,,,"Python, C++, Machine Learning Infrastructure, Model Evaluation, Optimization, Data Processing, Debugging, Generative AI, Large Language Models, Large Vision Models",FAIL
AI,92.31,Quantifi,AI Engineer,AI,Company_wise_Resume/Quantifi_AI_Engineer,https://jobright.ai/jobs/info/69f757a3a3d34b4f76f5b635,https://quantifisolutions.freshteam.com/jobs/_BdrQBi1EkVS/ai-engineer,,,"Python, TypeScript, Node.js, AI/ML fundamentals, Large Language Models (LLMs), AI agents development, Deployment, Data pipelines, Prompt engineering",FAIL
