Company,Title,Location,Publish Time,Salary,Work Model,Match Score,Applicants,Min YOE,H1B Sponsor,Matched Skills,Missing Skills,URL
Tessera Labs,"Software Engineer, Backend","San Francisco, CA",1 hour ago,$200K/yr - $250K/yr,Hybrid,90.6719,25,3,True,"API Development, Cloud Infrastructure, Python, SQLAlchemy, PostgreSQL, MySQL, Data Modeling, Asynchronous Processing, Cloud Storage, AWS S3, Azure Blob Storage, API Authentication, Security, Debugging, Testing, Performance Optimization","Backend Development, Distributed Systems, FastAPI, Redis, Message Queues, Kafka, RabbitMQ, Pub/Sub, Google Cloud Storage, Scalability",https://jobs.ashbyhq.com/tessera-labs/1fff7515-d5ae-4e89-9cf3-75c8e542f751/application?utm_source=gVAve8bk7l&src=LinkedIn
Swift,CI/CD DevOps Engineer,"Manassas, VA",1 hour ago,$67K/yr - $124K/yr,Onsite,81.8467,25,N/A,True,"CI/CD, GitLab CI/CD, Python, Containerization, Docker, Kubernetes","CloudBees, Red Hat Ansible, Red Hat Enterprise Linux (RHEL) administration",https://swift.wd3.myworkdayjobs.com/en-US/Join-Swift/job/Manassas-United-States/CI-CD-DevOps-Engineer_2026-15674?source=LinkedIn
Wellington Management,Senior Software Engineer,"Boston, MA",3 hours ago,$90K/yr - $180K/yr,Hybrid,93.5776,25,5,True,"AI-driven agentic engineering practices, Source code management (Git), CI/CD (Jenkins), CI/CD (GitHub Actions), IDEs (VS Code), IDEs (IntelliJ), IDEs (Eclipse), AI tools (Claude Code), Cloud platforms (AWS), Cloud platforms (Azure), Programming languages (Java), Programming languages (Python), Programming languages (TypeScript), Databases (MySQL)","SDLC tools, Issue tracking (JIRA), Issue tracking (Linear), AI tools (GitHub Copilot), Databases (Oracle), Dependability",https://wellington.wd5.myworkdayjobs.com/External/job/Boston-MA-United-States/Senior-Software-Engineer_R94102?source=LinkedIn
Affirm,"Software Engineer I, Full-Stack (Home and Search Experience)","Austin, TX",14 hours ago,$130K/yr - $170K/yr,Hybrid,98.0,64,N/A,True,"Python, API Development, AWS, MySQL, Kubernetes, Code Debugging, Code Review","Kotlin, Backend Systems Development, Distributed Systems",https://job-boards.greenhouse.io/affirm/jobs/7685236003?gh_src=689c81d53us
Verint,"Engineer, Software",United States,2 hours ago,$110K/yr - $130K/yr,Remote,93.0678,200,3,True,"Java, RESTful API design, OAuth 2.0, JWT, Microservices, JavaScript, TypeScript, React, HTML5, CSS3, Relational databases, SQL, PostgreSQL, MS SQL, NoSQL databases, MongoDB, AWS, Azure, Docker, Kubernetes, JUnit, TestNG","Spring Boot, Spring MVC, JPA/Hibernate, C#, Oracle, Redis, Elasticsearch, Jest",https://fa-epcb-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/3814/?utm_medium=jobshare
Slang AI,Backend Software Engineer,"New York, NY",9 hours ago,N/A,Hybrid,98.0,102,3,True,"JVM languages, RESTful APIs, GraphQL APIs, NoSQL databases, Data modeling, Containerization, Docker, Cloud platforms, AWS, Azure, Software testing, Debugging, Troubleshooting, React, TypeScript","Kotlin, Functional programming, GCP, Test-driven development",https://easyapply.jobs/r/hFHLGjh26oIi5h3CzyDg
International Academies of Emergency Dispatch,Software Developer II,"110 S. REGENT STREET SUITE 500 - SALT LAKE CITY, UT 84111",5 hours ago,N/A,Hybrid,95.273,47,3,True,"NodeJS, MS SQL Server, MySQL, Server-side Development, Web Services, API Development, JavaScript, React.js, Object-oriented Programming, HTML, CSS, Website Security, Version Control, GIT, REST Architecture","WCF, Next.js, Code Documentation, SVN, Customer Service Attitude, Analytical Abilities",https://www.paycomonline.net/v4/ats/web.php/portal/DE167225427108EF51BA308DE01A0BAB/jobs/527370
The Depository Trust & Clearing Corporation (DTCC),Backend Software Java Engineer,"Tampa, FL",8 hours ago,N/A,Hybrid,93.1137,76,4,True,"Java, Core Java, Java EE, RESTful API development, Microservices architecture, MVC, Relational databases, SQL, PL/SQL, CI/CD practices, Git, Bitbucket, Unit testing, Integration testing, JUnit, Mockito, Application security, Authentication","Spring ecosystem, Spring Boot, Spring MVC, Layered architecture, SOA, Oracle, Maven, Jenkins, Agile delivery, Scrum, Kanban, Authorization",https://ebxr.fa.us2.oraclecloud.com:443/hcmUI/CandidateExperience/en/job/213317?utm_source=linkedin&utm_medium=jobboard
Hippocratic AI,AI Engineer,"Palo Alto, CA",1 hour ago,N/A,Onsite,92.9325,200,3,True,"Python, APIs, Data pipelines, Prompt engineering, Vector databases, Cloud environments, DevOps practices, Terraform, CI/CD","Distributed systems, Retrieval systems, Voice agents, Monitoring",https://jobs.ashbyhq.com/Hippocratic%20AI/e0fcafa9-0797-4d18-9d87-c9857cced283?source=linkedin
Applied Materials,2026 NCG - Software Engineer (BS/MS),"Santa Clara,CA, US",2 hours ago,$108K/yr - $148K/yr,Onsite,97.0615,25,N/A,True,"Programming fundamentals, JavaScript, Python, Node.js, Software engineering principles, Data structures, Algorithms, REST APIs, Web development","Single Page Application frameworks, Backend services",https://amat.wd1.myworkdayjobs.com/external/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063
Spotify,Backend Engineer - Music,"New York, NY",1 hour ago,$133K/yr - $190K/yr,Hybrid,75.6806,25,N/A,True,"Java, API Design, Code Testing, Performance Optimization, AI Application","Backend Systems Development, Service-based Architecture, Scalability, System Reliability, Production Systems, Curiosity",https://jobs.lever.co/spotify/0f8f7921-bcb4-444c-8ceb-4d3fa6459493?lever-source=LinkedInJobs
Light & Wonder,Software Engineer,"Reno, NV",6 hours ago,N/A,Hybrid,88.3649,200,2,True,"Data structures, Algorithms, Software engineering fundamentals, RESTful APIs, Web services, Relational databases, SQL Server, PostgreSQL, MySQL, Version control systems, Git, Containerization, Docker, Kubernetes, CI/CD tools, GitHub Actions, Authentication, React","Client-server applications, Distributed systems, C#, Message-based architectures, Orchestration tools, Windows services, Background workers, Real-time communication systems, Security best practices, Authorization, UI development, Blazor",https://lnw.wd5.myworkdayjobs.com/LightWonderExternalCareers/job/Reno-NV/Software-Engineer_R321148?source=LinkedIn_Auto_Source
Bot Auto,"Senior Software Engineer, Build Tools","Houston, TX",1 hour ago,N/A,Onsite,83.3338,25,3,True,"Python, C++, Containerization, Docker, Git workflows, Computer science fundamentals, Data structures","Build systems, Package management, CMake, Bazel, Branching strategies",https://job-boards.greenhouse.io/botauto/jobs/5208075008?gh_src=5rcIGh
Colliers Engineering & Design,Full Stack Developer,US-WA-Seattle,5 hours ago,$96K/yr - $148K/yr,Onsite,97.3094,25,4,True,"HTML, CSS, JavaScript, React, Angular, Node.js, Java, PHP, API Development, MS SQL, Azure SQL, SQL Query Writing, Git, CI/CD","Full Stack Development, Knowledge Sharing",https://careers-mg2.icims.com/jobs/12735/full-stack-developer/job?in_iframe=1
Morgan Stanley,"Associate, Software Engineer","New York, NY",3 hours ago,$138K/yr - $138K/yr,Hybrid,84.4177,25,2,True,"API integration, Python, SQL, Prompt engineering, Vector search, Continuous Integration, Continuous Delivery (CI/CD), RESTful APIs, Microservices architecture, Large language models (LLMs), Java","Application enterprise workflows, Embeddings, Redis vector search, FAISS, TeamCity, Distributed messaging frameworks, Apache Kafka, Spring Boot, OpenAI, Monitoring, Log analysis, Splunk",https://morganstanley.eightfold.ai/careers/job?domain=morganstanley.com&pid=549793876434&src=JB-10147
IDEXX,Senior Software Engineer,"Westbrook, ME",1 hour ago,$110K/yr - $130K/yr,Hybrid,96.1759,25,5,True,"Software Engineering, Java, Node.js, TypeScript, RESTful API Design, Relational Databases, NoSQL Databases, Amazon Web Services, Version Control - Git, CI/CD, Code Review","Spring Boot, Amazon DocumentDB, Google Cloud Datastore, Google Cloud Platform, Automated Testing",https://careers.idexx.com/us/en/job/J-052777/Senior-Software-Engineer?utm_source=linkedin&utm_medium=phenom-feeds&src=SNS-10040&source=LinkedIn
Proofpoint,Sr. Software Engineer,United States,14 hours ago,$166K/yr - $244K/yr,Remote,97.2413,200,3,True,"Perl scripting, Software design, Code review, Algorithms, Data structures, Linux/Unix, Ruby scripting, Python scripting, Java","Golang, Full stack development",https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers/job/Draper-UT/Sr-Software-Engineer_R13767?source=LinkedIn
"GEI Consultants, Inc.",Full Stack Engineer,"Cary, NC",2 hours ago,$90K/yr - $130K/yr,Hybrid,93.7789,25,4,True,"React, Angular, Node, TypeScript, Microsoft Azure, RESTful services, Microservices architectures, Azure Web Apps, Azure Containers, Azure Functions, Azure API Management, SQL Server, Azure SQL, JavaScript, JQuery, Git, Authentication, OAuth, Role-based access control","Full stack application development, C#, NET, Cloud-native application development, Microsoft Azure AI, Azure Logic Apps, Azure monitoring tools, DevOps tools, Azure DevOps, Authorization, Entra ID",https://jointeamgei.geiconsultants.com/jobs/17170855-full-stack-engineer?tm_job=856163-OTHLOC-CyCxYfwp&tm_event=view&tm_company=90289&bid=56
Firstup,Sr. AI Automation Engineer,United States,4 hours ago,$120K/yr - $175K/yr,Remote,84.7985,92,5,True,"AI/ML systems deployment, Large Language Models (LLMs), Vector databases, Python programming, Software engineering fundamentals, API development, System design, AI system integration","Retrieval-Augmented Generation (RAG) architectures, Agent frameworks, Scalability, Automation/orchestration tools, Evaluation frameworks, Analytical skills, Execution velocity",https://jobs.lever.co/firstup/a1f67f93-bc71-4dd7-b94e-4188f8801386/apply?utm_source=jobright
Salesforce,Software Engineering AMTS (College Grad),"Indianapolis, IN",5 hours ago,$110K/yr - $153K/yr,Onsite,98.0,25,N/A,True,"Object-oriented programming, Java, Python, JavaScript, HTML, SQL, C++, Software development process, Unit testing, Functional testing","Test automation, Analytical skills",https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/California---San-Francisco/Software-Engineering-AMTS-MTS--College-Grad-_JR330400-1?source=LinkedIn_Jobs
Advantive,Associate AI Software Developer,"Tampa, FL",7 hours ago,N/A,Hybrid,91.3184,200,0,True,"Python, TypeScript, JavaScript, React, Machine Learning, Large Language Models, Prompt Engineering, APIs, SQL, Microsoft Azure, Git, Data Engineering, ETL, Data Pipelines","C#/.NET, Next.js, Retrieval-Augmented Generation (RAG), Transformer Architectures, AI-Assisted Development Tools, Curiosity",https://recruit.hirebridge.com/v3/careercenter/v2/details.aspx?jid=353609&cid=8115&locvalue=10111011&src=linkedin
Enhance IT,Software Engineer,"California, United States",9 hours ago,$30/hr - $35/hr,Onsite,97.2894,200,N/A,True,"HTML, CSS, JavaScript, React, Node.js, Python, Java, REST APIs, Databases, MySQL, MongoDB, Version Control, Git","Frontend Frameworks, Backend Technologies, Client-Server Architecture",https://www.linkedin.com/jobs/view/4407936175
Klaviyo,"Software Engineer II, Growth","Boston, MA",12 hours ago,$116K/yr - $174K/yr,Hybrid,81.8452,200,N/A,True,"API Development, A/B Testing, HTML, TypeScript, JavaScript, React, Python, MySQL, Cassandra, Amazon Web Services, Terraform, Strategic Thinking","Full Stack Software Engineering, User Experience Improvement, Data-Driven Product Development, AI-Driven Software Delivery, Django, RabbitMQ, Redis, Ansible, Packer",https://www.klaviyo.com/careers/jobs?gh_jid=7694827003&gh_src=1284ec8c3us
Asbury Automotive Group,Full-Stack Web Developer,"Atlanta, GA",15 hours ago,N/A,Onsite,95.9626,98,2,True,"Web Development, Node.js, React, PHP, GitHub, Data-Driven Applications, MySQL","User Interface Design, Graphic Design",https://www.click2apply.net/69f466b98957344bc8babac6
Vectra AI,Senior Data Platform Engineer,"Austin, TX",3 hours ago,$150K/yr - $180K/yr,Onsite,89.6519,25,2,True,"Software development, Real time data processing, Databases, Data management, Object oriented programming, Python, Data structures, Algorithms, Unix/Linux, Source control, Git, Containerization, Docker, Kubernetes, Cloud providers, AWS, Debugging",Data production platforms,https://www.vectra.ai/about/jobs?gh_jid=7815917
EarnIn,Software Engineer (Gen AI),"Mountain View, CA",11 hours ago,$181K/yr - $222K/yr,Hybrid,88.4445,200,3,True,"Software engineering, System design, AI development tools, Growth mindset","GenAI, Agent-driven chatbot development, Curiosity",https://boards.greenhouse.io/embed/job_app?token=7637401&utm_source=jobright
Populous,Cloud Engineer,"Los Angeles, CA",1 hour ago,$112K/yr - $143K/yr,Onsite,71.2966,84,5,True,"AWS, Azure, Cloud Infrastructure, Network Access Control Lists, AWS CDK, TypeScript, CI/CD Tools, GitHub Actions","Cloud Networking, VPC, VNets, Subnets, Routing Tables, DNS, Firewall Configuration, Palo Alto Firewalls, AWS Security Groups, Azure Network Security Groups, Azure Firewall, Infrastructure-as-Code, VPN, Private Endpoints, Hybrid Networking, Jenkins, Azure DevOps, Cloud Security Principles, Monitoring Tools, CloudWatch, Azure Monitor, Prometheus",https://recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a321814476b80a2014782e28eda7ae7&id=8a78879e9de07184019de5a71ad7493f&source=&lang=en
Cambia Health Solutions,Software Development Engineer II or III (DOE),"Salt Lake City, UT",1 hour ago,$87K/yr - $142K/yr,Hybrid,88.4716,25,3,True,"Python, SQL Server, Cloud Experience, AWS, Java, AI Knowledge, Continuous Integration, Continuous Deployment (CI/CD), Containerization Technologies, RESTful API Design, GraphQL API Design, Data Stewardship, Data Pipelines, Data Cleansing, Data Standardization, Data Science","C#.NET, SSIS, Stored Procedures, Test Driven Development (TDD), Behavior Driven Development (BDD), Orchestration Tools, Software Security Best Practices, Defensive Programming, OWASP Top 10, Authentication Principles, Data Exchange, Data Validation",https://cambiahealth.wd504.myworkdayjobs.com/External/job/Portland-OR/Software-Development-Engineer-II-or-III--DOE-_R-6291-1?source=LinkedIn
WHOOP,Software Engineer I (Backend),"Boston, MA",12 hours ago,$105K/yr - $145K/yr,Onsite,96.202,200,N/A,True,"RESTful APIs, Relational databases, Postgres, Object-oriented programming, Java, Version control, Git, Data structures, Algorithms, System design basics, Event-driven architectures, Cloud platforms, AWS, Growth mindset","Backend software development, Distributed systems, Kafka",https://jobs.lever.co/whoop/3b94218d-3a5a-4dd1-91c7-5f18655c93a8/apply?lever-source=LinkedInJobs
Freddie Mac,Software Engineering Professional,"McLean, VA",5 hours ago,$103K/yr - $155K/yr,Onsite,85.4998,25,2,True,"Java, Angular, React, Node.js, JavaScript, TypeScript, HTML5, CSS, Application servers, UNIX shell scripting","Spring Boot, Vue, Web servers, Caching, Load balancers, WebLogic, Apache, Middleware, Multi-tier architectures, Analytical skills",https://careers.freddiemac.com/us/en/job/FRMAUSJR16942EXTERNAL/software-engineering-professional
First Citizens Bank,Senior Java Engineer (Remote),United States,1 hour ago,N/A,Remote,85.1654,25,4,True,"Java, JDBC, Web development, Web Services, JVM, JUnit, Kubernetes, API development, API Gateway, JavaScript, ES6+, Asynchronous programming, React.js, Redux","JEE, JMS, Transactions, JSP, Servlets, EJB, JNDI, JMX, JTA, Spring, Hibernate, SpringBoot Microservices, Loopback, Agile methodology, MobX, React component lifecycle",https://jobs.firstcitizens.com/jobs/33767?lang=en-us&iis=Social+Media/Job+Boards&iisn=LinkedIn
Vitol,Full Stack Developer (.Net/React),"Houston, TX",9 hours ago,N/A,Onsite,83.2649,200,4,True,"WebAPIs, Continuous integration, Continuous delivery, RDBMS, SQL, SQL Server, PostgreSQL, React, TypeScript, GraphQL","C#, NET technologies, ASP.NET Core, Oracle, GRPC, Reactive Extensions, UI/UX",https://jobs.smartrecruiters.com/Vitol/744000107377485-full-stack-developer-net-react-?trid=2d92f286-613b-4daf-9dfa-6340ffbecf73
Airbnb,"Software Engineer, Airbnb - New Grad","Seattle, WA",23 hours ago,$128K/yr - $142K/yr,Hybrid,92.5345,200,1,True,"Computer Science fundamentals, Data structures, Algorithms, Design patterns, Java, C++, SQL, HTML/CSS, JavaScript, AI/ML concepts, Supervised learning, Model evaluation, Large language model APIs, Python, NumPy, Scikit-learn, PyTorch, Responsible AI principles","Systems thinking, Scala, Ruby, Ruby on Rails, Objective-C, Swift, Kotlin, Cloud-based AI services, Curiosity, Empathy",https://careers.airbnb.com/positions/7773838?gh_src=34ewj2
Reverb,Software Engineer,Greater Chicago Area,5 hours ago,$108K/yr - $140K/yr,Hybrid,97.4396,141,2,True,"JavaScript, React, GraphQL, API design","Ruby on Rails, Web architecture",https://ats.rippling.com/reverb-careers/jobs/b8ab7ab1-4ff4-49e7-97d6-cfb7bc2c49f6?src=Linkedin+Job+Posting
The Beck Group,Full Stack .NET Developer,"Dallas, US",3 hours ago,N/A,Onsite,88.8329,46,3,True,"ASP.NET MVC, Microsoft SQL Server, JavaScript, HTML, CSS, React, Angular, Azure App Services, Git administration, OpenID, OAuth2","ASP.NET WebForms, C#, Oracle databases, Entity Framework, Dapper, Vue, .NET Web APIs, Azure DevOps CI/CD, Single Page Applications, Patience",https://beckgroup.wd12.myworkdayjobs.com/beckgroupexternal/job/Dallas/Full-Stack-NET-Developer_JR101117
Marlabs,Artificial Intelligence Engineer,"Alpharetta, GA",1 hour ago,$90K/yr - $100K/yr,Onsite,86.718,25,N/A,True,"SQL databases, NoSQL databases, Prompt engineering for LLMs, Software engineering, Machine learning engineering, Deep learning engineering, Applied AI, Cloud platforms - AWS, Cloud platforms - Azure, Docker, Kubernetes, CI/CD, MLOps, Vector search, Knowledge retrieval, AI agent integration","Fullstack Python development, FastAPI, Flask, Django, Retrieval-Augmented Generation (RAG) pipelines, Cloud platforms - GCP, Production deployment, Context engineering, Session management, Conversational flow frameworks - LangGraph, Analytical skills",https://www.linkedin.com/jobs/view/4407969073
Populous,Cloud Engineer,"Detroit, MI",1 hour ago,$96K/yr - $110K/yr,Onsite,74.066,25,5,True,"AWS, Azure, Cloud infrastructure design, Azure NSGs, AWS CDK, TypeScript, Python scripting, Bash scripting, PowerShell scripting, CI/CD tools, GitHub Actions","Cloud networking concepts, VPC, VNets, Subnets, Routing tables, DNS, Firewall configuration, Palo Alto Firewalls, AWS Security Groups, NACLs, Azure Firewall, Infrastructure-as-Code, VPN design, Private endpoints, Hybrid networking, Jenkins, Azure DevOps, Cloud security principles, Monitoring tools",https://recruitingbypaycor.com/career/JobIntroduction.action?clientId=8a321814476b80a2014782e28eda7ae7&id=8a78879e9de07184019de5a430c748de&source=&lang=en
Ascot Group,Associate Full Stack AI Engineer,"Iselin, NJ",11 hours ago,$90K/yr - $90K/yr,Hybrid,88.1973,200,N/A,True,"JavaScript, TypeScript, Python, Artificial Intelligence, Large Language Models, Artificial Intelligence Platform, RESTful APIs, SQL","PySpark, Retrieval-Augmented Generation, Agentic workflows, Palantir Foundry, Data visualization, Analytical skills",https://fa-emkq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/889/?utm_medium=jobshare
Next Insurance,Front End Software Engineer,"Boston, MA",11 hours ago,$112K/yr - $151K/yr,Hybrid,90.6769,200,3,True,"JavaScript, HTML5, CSS3, Angular, Node.js, API development, Microservices, RESTful services, GraphQL, SQL Server, MySQL, Web application development","RxJS, JSON, User interface design principles, Passion for coding, Deliver on time",https://job-boards.greenhouse.io/nextinsurance66/jobs/7607315003
Luma,Software Engineer - Product,San Francisco Bay Area,9 hours ago,N/A,Hybrid,94.9408,200,3,True,"Software engineering, General-purpose programming languages, Python, TypeScript, Java, AI coding tools, Data structures, Algorithms","Go, Systems thinking, Software delivery, Learning speed",https://jobs.gem.com/lumalabs-ai/am9icG9zdDodtsh6pWUJjQgE8lXoaEJi?src=LinkedIn+Paid
Finastra,DevOps Engineer,"Atlanta, GA",2 hours ago,N/A,Hybrid,91.8508,25,N/A,True,"DevOps practices, CI/CD pipelines, Cloud infrastructure, Automated deployment, Terraform, GitHub, GitHub Actions, Version control","Infrastructure-as-code, YAML, Azure DevOps, AI-assisted software development tooling",https://finastra.wd3.myworkdayjobs.com/FINC/job/Atlanta/DevOps-Engineer_REQ0326_0036542?source=LinkedIn
JPMorganChase,"Software Engineer III - Agentic AI, Java/Python","Jersey City, NJ",13 hours ago,$133K/yr - $185K/yr,Onsite,95.2709,200,3,True,"Software Engineering Concepts, AI/ML Development, LangChain, Machine Learning, Artificial Intelligence, Large Language Models, Natural Language Processing, Computer Vision, Speech Recognition, Reinforcement Learning, Recommendation, Data Structures, Algorithms, Data Mining, Statistics, PyTorch, PyG, Keras, Scikit-Learn, Python Programming","Agentic Workflows, LangGraph, Auto-GPT, Knowledge Graph, Ranking, Time Series Analysis, Information Retrieval, TensorFlow, MXNet, Apache Spark",https://JPMorganChase.contacthr.com/151950694
LangChain,"FullStack Engineer,  AI Observability & Evals Platform (LangSmith)",United States,12 hours ago,$145K/yr - $180K/yr,Remote,92.8688,200,2,True,"Python, Typescript, React, Postgres, API design","Go, Redis, Fullstack engineering",https://jobs.ashbyhq.com/langchain/ddf92275-1cc3-49c0-9f25-e8ded43b07f6/application?utm_source=vxReVqRy6V
