Bucket,Score,Company,Title,Template,Folder,URL,Skills Added,Authentic Missing (all),Matched (CSV),Compile
SDE,97.57,Goldman Sachs,Asset & Wealth Management - Software Engineer - Associate - Dallas,SEPY,Company_wise_Resume/Goldman_Sachs_Asset_Wealth_Management_-_Software_Engineer_-_,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/166092/?utm_medium=jobshare&mode=job&iis=LinkedIn,,,"Java, Python, AWS, JavaScript, React, Redux, Non-relational databases, Relational databases, Data structures, Algorithms, Object-oriented analysis, Interpersonal ability",OK
SDE,97.49,Justworks,Software Engineer,SEPY,Company_wise_Resume/Justworks_Software_Engineer,https://boards.greenhouse.io/justworks/jobs/6917404?gh_jid=6917404&gh_src=f08327d91us&source=LinkedIn,,,"Python, Java, Node.js, SQL, Database fundamentals, AWS, Cloud platforms, Mentorship",OK
SDE,97.44,Reverb,Software Engineer,SEPY,Company_wise_Resume/Reverb_Software_Engineer,https://ats.rippling.com/reverb-careers/jobs/b8ab7ab1-4ff4-49e7-97d6-cfb7bc2c49f6?src=Linkedin+Job+Posting,,,"JavaScript, React, GraphQL, API design",OK
SDE,97.43,Los Angeles Times,Senior Software Engineer,SEPY,Company_wise_Resume/Los_Angeles_Times_Senior_Software_Engineer,https://jobs.dayforcehcm.com/en-US/nantmedia/CANDIDATEPORTAL/jobs/1450?src=LinkedIn,,,"Java, Typescript, REST API Design, Micro-service Architecture, Docker, CI/CD, AWS Lambda, AWS DynamoDB, AWS ECS",OK
SDE,97.31,Colliers Engineering & Design,Full Stack Developer,FS,Company_wise_Resume/Colliers_Engineering_Design_Full_Stack_Developer,https://careers-mg2.icims.com/jobs/12735/full-stack-developer/job?in_iframe=1,Full Stack Development,Full Stack Development,"HTML, CSS, JavaScript, React, Angular, Node.js, Java, PHP, API Development, MS SQL, Azure SQL, SQL Query Writing, Git, CI/CD",OK
SDE,97.29,Enhance IT,Software Engineer,SEPY,Company_wise_Resume/Enhance_IT_Software_Engineer,https://www.linkedin.com/jobs/view/4407936175,,,"HTML, CSS, JavaScript, React, Node.js, Python, Java, REST APIs, Databases, MySQL, MongoDB, Version Control, Git",OK
SDE,97.24,Maximus,Associate Engineer - Software Engineer,SEPY,Company_wise_Resume/Maximus_Associate_Engineer_-_Software_Engineer,https://maximus.avature.net/careers/FolderDetail/United-States-Associate-Engineer-Software-Engineer/39087?source=LinkedIn,,,"Object Oriented Programming, RDBMS, Software Development Life Cycle, Power BI, SQL, Data Analysis, Java, JavaScript, Eclipse IDE, JUnit, Work in teams",OK
SDE,97.24,Proofpoint,Sr. Software Engineer,SEPY,Company_wise_Resume/Proofpoint_Sr_Software_Engineer,https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers/job/Draper-UT/Sr-Software-Engineer_R13767?source=LinkedIn,Full stack development,Full stack development,"Perl scripting, Software design, Code review, Algorithms, Data structures, Linux/Unix, Ruby scripting, Python scripting, Java",OK
SDE,97.21,Apple,"Software Development Engineer - Data, MLO",SEPY,Company_wise_Resume/Apple_Software_Development_Engineer_-_Data_MLO,https://jobs.apple.com/en-us/details/200660708-0836/software-development-engineer-data-mlo?team=MLAI,TensorFlow,TensorFlow,"Machine learning, PyTorch, Data engineering, Multimodal large language models",OK
SDE,97.18,Waymo,"Senior Fullstack Engineer, Waymo for Business",FS,Company_wise_Resume/Waymo_Senior_Fullstack_Engineer_Waymo_for_Business,https://careers.withwaymo.com/jobs?gh_jid=7669326&gh_src=e2a2625d1us,,,"Angular, React, HTML, CSS, JavaScript, TypeScript, RESTful APIs, GraphQL",OK
SDE,97.06,Applied Materials,2026 NCG - Software Engineer (BS/MS),SEPY,Company_wise_Resume/Applied_Materials_2026_NCG_-_Software_Engineer_BSMS,https://amat.wd1.myworkdayjobs.com/external/job/Santa-ClaraCA/XMLNAME-2026-NCG---Software-Engineer--BS-MS-_R2619063,,,"Programming fundamentals, JavaScript, Python, Node.js, Software engineering principles, Data structures, Algorithms, REST APIs, Web development",OK
SDE,97.03,Uber,Software Engineer I,SEPY,Company_wise_Resume/Uber_Software_Engineer_I,https://tnl2.jometer.com/v2/job?jz=5wqzs1622bd232e2c476a99cbcbef59029440KMAGUCAAAABQ&iis=Job%20Board%20-%20Recruitment%20Marketing&iisn=LinkedIn,Distributed Systems,Distributed Systems,"C++, Python, Java, GIT, SQL, MySQL, Data Structures, Algorithms, Debugging, Software Development Lifecycle, Object Oriented Programming",OK
SDE,96.94,Trimble Inc.,Software Engineer,SEPY,Company_wise_Resume/Trimble_Inc_Software_Engineer,https://trimble.eightfold.ai/careers/job/171838607835?microsite=trimble.com&domain=trimble.com&src=LinkedIN,,,"Cloud platforms, AWS, Azure, Object-oriented programming, Python, Serverless architecture, REST APIs, CI/CD, Git, NoSQL",OK
SDE,96.69,First Solar,Developer I USA,SEPY,Company_wise_Resume/First_Solar_Developer_I_USA,https://fa-esbv-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/1024427/?utm_medium=jobshare,,,"HTML, JavaScript, CSS, SQL, PL/SQL, API development, REST, Computer programming, Software development, Cloud technologies, Databases, RDBMS, NoSQL, Software Development Lifecycle, Git version control, Growth mindset",OK
SDE,96.69,First Solar,Developer I USA,SEPY,Company_wise_Resume/First_Solar_Developer_I_USA,https://fa-esbv-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1024427,,,"HTML, JavaScript, CSS, SQL, PL/SQL, API development, REST, Computer programming, Software development, Cloud technologies, Databases, RDBMS, NoSQL, Software Development Lifecycle, Git version control, Growth mindset",OK
SDE,96.26,International Academies of Emergency Dispatch,Software Developer II,SEPY,Company_wise_Resume/International_Academies_of_Emergency_Dispatch_Software_Devel,https://paycomonline.net/v4/ats/web.php/portal/DE167225427108EF51BA308DE01A0BAB/jobs/527370,Next.js,Next.js,"NodeJS, MS SQL Server, MySQL, Server-side development, Web services, API, JavaScript, React.js, Object-oriented programming, HTML, CSS, Website security, Version control, REST architecture",OK
SDE,96.20,WHOOP,Software Engineer I (Backend),SEJV,Company_wise_Resume/WHOOP_Software_Engineer_I_Backend,https://jobs.lever.co/whoop/3b94218d-3a5a-4dd1-91c7-5f18655c93a8/apply?lever-source=LinkedInJobs,Distributed Systems; Kafka,Distributed Systems; Kafka,"RESTful APIs, Relational databases, Postgres, Object-oriented programming, Java, Version control, Git, Data structures, Algorithms, System design basics, Event-driven architectures, Cloud platforms, AWS, Growth mindset",OK
SDE,96.18,IDEXX,Senior Software Engineer,SEPY,Company_wise_Resume/IDEXX_Senior_Software_Engineer,https://careers.idexx.com/us/en/job/J-052777/Senior-Software-Engineer?utm_source=linkedin&utm_medium=phenom-feeds&src=SNS-10040&source=LinkedIn,Spring Boot; GCP; Automated Testing,Spring Boot; GCP; Automated Testing,"Software Engineering, Java, Node.js, TypeScript, RESTful API Design, Relational Databases, NoSQL Databases, Amazon Web Services, Version Control - Git, CI/CD, Code Review",OK
SDE,95.96,Asbury Automotive Group,Full-Stack Web Developer,FS,Company_wise_Resume/Asbury_Automotive_Group_Full-Stack_Web_Developer,https://www.click2apply.net/69f466b98957344bc8babac6,,,"Web Development, Node.js, React, PHP, GitHub, Data-Driven Applications, MySQL",OK
SDE,95.83,Publicis Sapient,"Senior Backend Engineer (Java, AWS,React)",SEJV,Company_wise_Resume/Publicis_Sapient_Senior_Backend_Engineer_Java_AWSReact,https://careers.publicissapient.com/job-details/2026-143853-senior-backend-engineer--java--aws-react--boston?mode=apply&iis=LinkedIn+Apply,Spring Boot; Infrastructure as Code,Spring Boot; Infrastructure as Code,"Java, Microservices, System design, AWS, React, RESTful API design, Containerization, Docker, Kubernetes, CI/CD pipelines, Shell scripting, SQL, NoSQL databases, Serverless computing, Event-driven architectures, API gateways, DevOps practices",OK
SDE,95.81,Hippocratic AI,Agent Deployment Engineer (Residency Program),SEPY,Company_wise_Resume/Hippocratic_AI_Agent_Deployment_Engineer_Residency_Program,https://www.linkedin.com/jobs/view/4389798215,,,"Python, LLM prompting, Databases, RESTful APIs",OK
SDE,95.79,Thomson Reuters,"Senior Software Engineer, Full Stack",FS,Company_wise_Resume/Thomson_Reuters_Senior_Software_Engineer_Full_Stack,https://thomsonreuters.wd5.myworkdayjobs.com/External_Career_Site/job/United-States-of-America-New-York-New-York/Senior-Software-Engineer--Full-Stack_JREQ199749-1?source=LinkedIn,Full-stack development; GCP; Distributed Systems,Full-stack development; GCP; Distributed Systems,"Node.js, Python, API design, RESTful APIs, Data modeling, SQL, NoSQL databases, Containerization, Docker, Kubernetes, Cloud platforms, AWS, TypeScript, React, Event-driven architectures, Microservices architecture, CI/CD, Data processing pipelines, Object-oriented design",OK
SDE,95.74,Ulteig,Software Development Engineer I,SEPY,Company_wise_Resume/Ulteig_Software_Development_Engineer_I,https://recruiting2.ultipro.com/ult1008ulte/JobBoard/71bc1da6-c7b0-4b37-9f7b-076d7d68c57b/OpportunityDetail?opportunityId=41232fc7-d572-4979-aae3-8759d1378546,,,"Software Development, Azure Platform, JavaScript, TypeScript, React, T-SQL, Python, DevOps",OK
SDE,95.71,Citi,Senior Java Full Stack Developer,FS,Company_wise_Resume/Citi_Senior_Java_Full_Stack_Developer,https://ad.doubleclick.net/ddm/trackclk/N4789.466581LINKEDIN.COM/B31905749.393702677;dc_trk_aid=614240951;dc_trk_cid=235979136;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=;dc_tdv=1;dc_transparent=1;?https://jobs.citi.com/job/-/-/287/94606122032?source=APPLICANT_SOURCE-3-354&utm_medium=job_posting&utm_campaign=nam_experienced&utm_content=social_media&utm_term=393702677&ss=paid&utm_source=linkedin,Spring Boot; Kafka,Spring Boot; Kafka,"Java, Object-oriented programming, Data structures, Algorithms, Design patterns, Microservices architecture, RESTful APIs, Event-driven services, Angular, React, SQL Server, Non-relational databases, OAuth2, JWT, Multi-threading, Parallel processing, Docker, Kubernetes, Version control systems, CI/CD pipelines",OK
SDE,95.27,International Academies of Emergency Dispatch,Software Developer II,SEPY,Company_wise_Resume/International_Academies_of_Emergency_Dispatch_Software_Devel,https://www.paycomonline.net/v4/ats/web.php/portal/DE167225427108EF51BA308DE01A0BAB/jobs/527370,Next.js,Next.js,"NodeJS, MS SQL Server, MySQL, Server-side Development, Web Services, API Development, JavaScript, React.js, Object-oriented Programming, HTML, CSS, Website Security, Version Control, GIT, REST Architecture",OK
SDE,95.27,JPMorganChase,"Software Engineer III - Agentic AI, Java/Python",SEPY,Company_wise_Resume/JPMorganChase_Software_Engineer_III_-_Agentic_AI_JavaPython,https://JPMorganChase.contacthr.com/151950694,TensorFlow; Apache Spark,TensorFlow; Apache Spark,"Software Engineering Concepts, AI/ML Development, LangChain, Machine Learning, Artificial Intelligence, Large Language Models, Natural Language Processing, Computer Vision, Speech Recognition, Reinforcement Learning, Recommendation, Data Structures, Algorithms, Data Mining, Statistics, PyTorch, PyG, Keras, Scikit-Learn, Python Programming",OK
SDE,94.94,Luma,Software Engineer - Product,SEPY,Company_wise_Resume/Luma_Software_Engineer_-_Product,https://jobs.gem.com/lumalabs-ai/am9icG9zdDodtsh6pWUJjQgE8lXoaEJi?src=LinkedIn+Paid,,,"Software engineering, General-purpose programming languages, Python, TypeScript, Java, AI coding tools, Data structures, Algorithms",OK
SDE,94.82,Ripple,"Software Engineer II, Data & AI",SEPY,Company_wise_Resume/Ripple_Software_Engineer_II_Data_AI,https://grnh.se/b1r55t1e1us?gh_src=79e001831us&source=LinkedIn,Distributed Systems,Scala; Distributed Systems,"Python, SQL, Data lake platforms, Databricks, AI, Machine learning, Large language models, RESTful APIs, Server-side API integration, AWS cloud resources, CI/CD pipelines, GitLab, Terraform, Independent work",OK
SDE,94.36,OPENLANE,Senior Software Engineer,SEPY,Company_wise_Resume/OPENLANE_Senior_Software_Engineer,https://apply.appcast.io/jobs/56176129338/applyboard/apply?cs=jj7&sjg=8kvf&source=LinkedIn&ccuid=71251180600&ua=4&__ssr=true,Scalability; Agile,Scalability; Agile,"NodeJS, JavaScript, HTML5, CSS3, SQL, NoSQL, Git, Object-Oriented Design, MySQL, Performance Optimization, Code Profiling, Troubleshooting",OK
SDE,94.34,Neota Logic,Dev Ops Engineer,SEPY,Company_wise_Resume/Neota_Logic_Dev_Ops_Engineer,https://www.linkedin.com/jobs/view/4409171771,,,"AWS, Microsoft Azure, Linux Systems Administration, Bash scripting, Python, RDBMS, SQL, PostgreSQL, Security",OK
DE,95.74,SynergisticIT,Junior data engineer/ML/AI engineer,DE,Company_wise_Resume/SynergisticIT_Junior_data_engineerMLAI_engineer,https://www.linkedin.com/jobs/view/4407674063,Full Stack Development,Full Stack Development,"Java, Python, DevOps, Data Analytics, Data Engineering, Data Science, Machine Learning, API Development, Cloud, CI/CD, Data Structures, System Design, SQL",OK
DE,94.00,Grant Street Group,Data Conversion Developer,DE,Company_wise_Resume/Grant_Street_Group_Data_Conversion_Developer,https://jobs.lever.co/grantstreet/296ba3b9-c3bc-4467-9f01-2c3f6c7a3569/apply?utm_source=jobright,,,"SQL, Relational databases, MySQL, Linux, BASH shell scripting, Docker",OK
DE,92.22,Scotiabank,Data Engineer,DE,Company_wise_Resume/Scotiabank_Data_Engineer,https://jobs.scotiabank.com/job/Dallas-Data-Engineer-TX-75201/601378117/?feedId=354060&utm_source=LinkedInJobPostings&utm_campaign=ScotiaBank_Linkedin,Distributed Systems,Apache Spark; Scala; Distributed Systems,"Python, Java, Data processing, SQL, Data lakes, Git, Azure Databricks",OK
DE,90.37,Droisys,Data Engineer / AI & ML Engineer,DE,Company_wise_Resume/Droisys_Data_Engineer_AI_ML_Engineer,https://www.linkedin.com/jobs/view/4407942720,FastAPI; Flask; Distributed Systems,FastAPI; Flask; Distributed Systems,"Data Engineering, Machine Learning Engineering, Python, ML Model Deployment, JavaScript, TypeScript, AWS, Cloud Platforms",OK
DE,90.12,First Quality,Data Engineer,DE,Company_wise_Resume/First_Quality_Data_Engineer,https://www.linkedin.com/jobs/view/4409418657,,,"Data engineering, ETL/ELT processes, SQL, Azure Data Factory (ADF), Azure Databricks, Data modeling, Data integration, Python, DevOps practices, Project management",OK
DE,89.65,Vectra AI,Senior Data Platform Engineer,DE,Company_wise_Resume/Vectra_AI_Senior_Data_Platform_Engineer,https://www.vectra.ai/about/jobs?gh_jid=7815917,,,"Software development, Real time data processing, Databases, Data management, Object oriented programming, Python, Data structures, Algorithms, Unix/Linux, Source control, Git, Containerization, Docker, Kubernetes, Cloud providers, AWS, Debugging",OK
DE,88.18,GitHub,"Senior Software Engineer, Data Engineering",DE,Company_wise_Resume/GitHub_Senior_Software_Engineer_Data_Engineering,https://githubinc.jibeapply.com/jobs/4782?lang=en-us&iis=Job+Board&iisn=LinkedIn&lever-source=LinkedinPosting,Distributed Systems,Distributed Systems,"Software engineering, C programming, C++ programming, Java programming, JavaScript programming, Go programming, Python programming, Microservices, Scripting languages, Cloud computing, Relational databases, Non-relational databases, Azure Storage, Azure Redis Cache, Azure Data Explorer, Mentorship",OK
DE,87.96,Burger King,"Analyst, Data Engineer, Burger King",DE,Company_wise_Resume/Burger_King_Analyst_Data_Engineer_Burger_King,https://www.indeed.com/viewjob?jk=503ea824e5f46a41,Snowflake,Snowflake,"SQL, Version control, Python, AWS, Data modeling",OK
DE,83.83,DoubleVerify,Sr. Data Engineer I,DE,Company_wise_Resume/DoubleVerify_Sr_Data_Engineer_I,https://www.linkedin.com/jobs/view/4400561360,Backend Engineering,Backend Engineering,"Data Engineering, Python, SQL, Java, API Integration, Data Pipeline Design, Cloud Environments, Git, CI/CD, Docker, Container Orchestration",OK
DE,83.70,Nordstrom,"Software Engineer 2 — Data Platform Enablement (Hybrid - Seattle, WA)",DE,Company_wise_Resume/Nordstrom_Software_Engineer_2_Data_Platform_Enablement_Hybri,https://careers.nordstrom.com/software-engineer-2-data-platform-enablement-hybrid-seattle-wa/job/0146394CAE2306A0B260B454D3FCD32D?source=LinkedIn,Infrastructure as Code; Monitoring Tools; AI-assisted Development Tools,GCP; Infrastructure as Code; Monitoring Tools; AI-assisted Development Tools,"Software Engineering, Python, General-purpose Programming Language, AWS, Kubernetes, CI/CD Pipelines, Git Workflows, Terraform, SQL, Data Platforms, Access Management",OK
DE,81.69,Sentara Health,Data Engineer - Remote,DE,Company_wise_Resume/Sentara_Health_Data_Engineer_-_Remote,https://sentara.wd1.myworkdayjobs.com/en-US/SCS/job/Virginia-Beach-VA/Data-Engineer---Remote_JR-98026?source=Linkedin,,PySpark,"Databricks, SQL, ETL/ELT data pipelines, Cloud platforms - Azure, Git, Data catalog tools, Data quality, Metadata-driven frameworks",OK
DE,79.77,Goldman Sachs,"Data Engineering - Data, Lakehouse and AI Data Platform Engineer - Analyst - New York",DE,Company_wise_Resume/Goldman_Sachs_Data_Engineering_-_Data_Lakehouse_and_AI_Data_,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/169310/?utm_medium=jobshare&mode=job&iis=LinkedIn,JSON; Kafka; Snowflake,Apache Spark; JSON; Kafka; Snowflake,"Python, Java, SQL, Software engineering fundamentals, Version control, Testing, CI/CD practices, Schema evolution, Data compatibility, Data quality, Data reconciliation, Databricks, Containerized deployment",OK
DE,78.64,Yahoo,Senior Data Engineer – AI-Driven Data Pipeline Automation,DE,Company_wise_Resume/Yahoo_Senior_Data_Engineer_AI-Driven_Data_Pipeline_Automatio,https://ouryahoo.wd5.myworkdayjobs.com/en-US/careers/job/United-States-of-America/Senior-Data-Engineer---AI-Driven-Data-Pipeline-Automation_JR0027145?source=LinkedIn,,GCP; BigQuery; Scala,"AI/ML, Data pipeline design, Data pipeline maintenance, Data Catalog, AWS, Object-oriented programming, Java, Python, SQL, Data security, Data governance",OK
DE,75.12,Goldman Sachs,"Data Engineering - Data, Lakehouse and AI Data Platform Engineer - Analyst - Dallas",DE,Company_wise_Resume/Goldman_Sachs_Data_Engineering_-_Data_Lakehouse_and_AI_Data_,https://hdpc.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/169312/?utm_medium=jobshare&mode=job&iis=LinkedIn,JSON; Kafka; Snowflake,Apache Spark; JSON; Kafka; Snowflake,"Python, Java, SQL, Software engineering fundamentals, Version control, Testing, CI/CD practices, Schema evolution, Data compatibility, Data quality, Data reconciliation, Databricks, Containerized deployment",OK
AI,98.00,SynergisticIT,entry level AI engineer/ML engineer /Java software developer,AI,Company_wise_Resume/SynergisticIT_entry_level_AI_engineerML_engineer_Java_softwa,https://www.linkedin.com/jobs/view/4407674066,Full Stack Development,Full Stack Development,"Java, Python, DevOps, Cloud Engineering, Data Analytics, Data Engineering, Data Science, Machine Learning, Artificial Intelligence",OK
AI,97.94,Brain Co.,Early Career AI/ML Engineer,AI,Company_wise_Resume/Brain_Co_Early_Career_AIML_Engineer,https://jobs.ashbyhq.com/brainco/bb6e555b-8bb1-4cd7-9813-4f82a5ebe839,,TensorFlow,"Applied machine learning, Generative AI applications, Large language models, PyTorch, Data structures, Algorithms, Software engineering",OK
AI,96.95,Distyl,AI Engineer,AI,Company_wise_Resume/Distyl_AI_Engineer,https://jobs.ashbyhq.com/Distyl/de4bdf84-bbe8-4a7c-8d5f-09492ad223f5?utm_source=LinkedInPaid,,,"Software Engineering, AI Systems Development, Large Language Models (LLMs), Prompt Engineering, Python, Debugging, Testing, Performance Optimization",OK
AI,96.17,Corebridge Financial,AI Engineer,AI,Company_wise_Resume/Corebridge_Financial_AI_Engineer,https://corebridgefinancial.wd1.myworkdayjobs.com/CorebridgeFinancial/job/TX-Houston/AI-Engineer_JR2600570,,RAG,"Artificial Intelligence, Machine Learning, Python, Prompt Engineering, Large Language Models, API Integration, Amazon SageMaker, Cloud Platforms - AWS, MLOps",OK
AI,95.31,Infinity Constellation,Junior AI Engineer (Clients) - Supernal,AI,Company_wise_Resume/Infinity_Constellation_Junior_AI_Engineer_Clients_-_Supernal,https://www.infinityconstellation.com/openings?ashby_jid=d787f0c1-70d5-4f62-9f97-584603c82baf&utm_source=AdrvexKe10,Automated Testing,Automated Testing,"API Development, Debugging, Software Engineering Fundamentals, OAuth, API Keys, Data Modeling, Code Review",OK
AI,94.55,Cengage,AI/ML Engineer - Work,AI,Company_wise_Resume/Cengage_AIML_Engineer_-_Work,https://cengage.wd5.myworkdayjobs.com/CengageNorthAmericaCareers/job/Illinois-USA/AI-ML-Engineer---Work_R2026-418?mode=job&iis=LinkedIn&iisn=LinkedIn,Embeddings,Embeddings,"Python, Software Engineering Fundamentals, Machine Learning, Large Language Models, Recommendation Systems, Representation Learning, Model Evaluation, CI/CD",OK
AI,92.93,Hippocratic AI,AI Engineer,AI,Company_wise_Resume/Hippocratic_AI_AI_Engineer,https://jobs.ashbyhq.com/Hippocratic%20AI/e0fcafa9-0797-4d18-9d87-c9857cced283?source=linkedin,Distributed Systems; Monitoring,Distributed Systems; Monitoring,"Python, APIs, Data pipelines, Prompt engineering, Vector databases, Cloud environments, DevOps practices, Terraform, CI/CD",OK
AI,91.88,Suffolk Construction,Site AI Engineer,AI,Company_wise_Resume/Suffolk_Construction_Site_AI_Engineer,https://careers-suffolkconstruction.icims.com/jobs/11113/site-ai-engineer/job?mode=apply&iis=LinkedIn,Infrastructure as Code; CloudFormation; Apache Airflow,Infrastructure as Code; CloudFormation; Apache Airflow,"AI engineering, Full-stack data applications, Data science, LLM solutions, RAG solutions, Agentic AI solutions, Python, SQL, Fast API, Databricks Lakehouse, Vector stores, DevOps, GitHub Actions, Terraform, CI/CD tooling, Git, GitHub workflow, ETL design",OK
AI,91.64,Qualcomm,Machine Learning Engineer - College Graduate,AI,Company_wise_Resume/Qualcomm_Machine_Learning_Engineer_-_College_Graduate,https://careers.qualcomm.com/careers/job/446717859953?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2,,,"Python, Object-oriented software design, Deep learning frameworks, Machine learning frameworks, Software design, Generative AI, ML accelerators, C++, Debugging skills",OK
AI,90.19,Hinge,"Senior Machine Learning Engineer, Dating Outcomes",AI,Company_wise_Resume/Hinge_Senior_Machine_Learning_Engineer_Dating_Outcomes,https://www.linkedin.com/jobs/view/4407947879,GCP; Apache Airflow,GCP; TensorFlow; Apache Airflow,"Python, Java, C++, Machine Learning, Deep Neural Networks, Cloud Platforms, AWS, Azure, ML Serving Solutions, Databricks, PyTorch, Recommender Systems, DevOps, Kubernetes, Terraform, Data Engineering, Data Cleaning, Data Preprocessing",OK
AI,88.44,EarnIn,Software Engineer (Gen AI),AI,Company_wise_Resume/EarnIn_Software_Engineer_Gen_AI,https://boards.greenhouse.io/embed/job_app?token=7637401&utm_source=jobright,,,"Software engineering, System design, AI development tools, Growth mindset",OK
AI,88.31,Detect,AI Engineer - Computer Vision,AI,Company_wise_Resume/Detect_AI_Engineer_-_Computer_Vision,https://boards.greenhouse.io/embed/job_app?token=4107483009&utm_source=jobright,,TensorFlow; MLflow,"Computer Vision, Deep Learning, Python, PyTorch, MLOps",OK
AI,88.20,Ascot Group,Associate Full Stack AI Engineer,AI,Company_wise_Resume/Ascot_Group_Associate_Full_Stack_AI_Engineer,https://fa-emkq-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/job/889/?utm_medium=jobshare,PySpark,PySpark; RAG,"JavaScript, TypeScript, Python, Artificial Intelligence, Large Language Models, Artificial Intelligence Platform, RESTful APIs, SQL",OK
AI,87.68,Cargomatic,AI Engineer,AI,Company_wise_Resume/Cargomatic_AI_Engineer,https://boards.greenhouse.io/embed/job_app?token=5207803008&utm_source=jobright,Apache Airflow; Backend development,Apache Airflow; RAG; Backend development,"AI/ML, Agentic AI, Large Language Models (LLMs), LangChain, Event-driven architectures, Vector databases, Node.js, React, Cloud infrastructure, AWS Lambda, AWS ECS, AWS S3, Databases, MongoDB",OK
